"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","analysis","source"
"GO:0005125","cytokine activity","7/130","73/9942",0.0958904109589041,7.33340358271865,6.2512945454842,4.42193924633433e-05,0.0125357517536879,0.0123469411417268,"TNFSF4/IL23A/KITLG/BMP4/CCL22/CCL4/CCL3",7,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0048018","receptor ligand activity","9/130","142/9942",0.0633802816901408,4.84712892741062,5.31466406692321,9.76886688803389e-05,0.0125357517536879,0.0123469411417268,"UTS2/TNFSF4/IL23A/KITLG/BMP4/CCL22/CCL4/CCL3/CD86",9,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0030546","signaling receptor activator activity","9/130","146/9942",0.0616438356164384,4.71433087460485,5.20403934370152,0.000120923650357118,0.0125357517536879,0.0123469411417268,"UTS2/TNFSF4/IL23A/KITLG/BMP4/CCL22/CCL4/CCL3/CD86",9,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0030545","signaling receptor regulator activity","9/130","153/9942",0.0588235294117647,4.49864253393665,5.01977285929016,0.000172709968358293,0.0134282000398573,0.0132259475769114,"UTS2/TNFSF4/IL23A/KITLG/BMP4/CCL22/CCL4/CCL3/CD86",9,"GO:MF","T_UT_switching","switching genes in T_UT"
"GO:0072677","eosinophil migration","3/17","10/9398",,,,5.85428830234453e-07,0.000370576449538409,0.000207673174514748,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0030593","neutrophil chemotaxis","4/17","54/9398",,,,2.19218532733398e-06,0.000693826656101205,0.000388824450163975,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0071621","granulocyte chemotaxis","4/17","65/9398",,,,4.63613071199109e-06,0.00097822358023012,0.000548202122786315,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:1990266","neutrophil migration","4/17","70/9398",,,,6.24380357991556e-06,0.000988081916521638,0.000553726791166196,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0097530","granulocyte migration","4/17","83/9398",,,,1.23342442082796e-05,0.0015615153167682,0.000875082168040046,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0002548","monocyte chemotaxis","3/17","28/9398",,,,1.56636777282098e-05,0.00165251800032613,0.000926080595509948,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0048247","lymphocyte chemotaxis","3/17","31/9398",,,,2.14201359145084e-05,0.00193699229055483,0.00108550162453975,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0070098","chemokine-mediated signaling pathway","3/17","33/9398",,,,2.59415139402973e-05,0.00205262229052602,0.00115030134182634,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:1990868","response to chemokine","3/17","39/9398",,,,4.31623232885902e-05,0.00273217506416776,0.00153112662613209,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:1990869","cellular response to chemokine","3/17","39/9398",,,,4.31623232885902e-05,0.00273217506416776,0.00153112662613209,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0009636","response to toxic substance","4/17","128/9398",,,,6.81083785033905e-05,0.00370355804801209,0.00207549523934493,"KDM6B/CCL4/CCL3/IPCEF1",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0030595","leukocyte chemotaxis","4/17","129/9398",,,,7.02096312419353e-05,0.00370355804801209,0.00207549523934493,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0097529","myeloid leukocyte migration","4/17","133/9398",,,,7.90912768688671e-05,0.00385113678907637,0.00215819921496423,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0006954","inflammatory response","6/17","450/9398",,,,9.18349058039105e-05,0.00415224966956252,0.00232694460570811,"CCL22/IL23A/TNFSF4/KDM6B/CCL4/CCL3",6,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0071347","cellular response to interleukin-1","3/17","52/9398",,,,0.000102868501493195,0.00430909560390474,0.0024148419697612,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0002690","positive regulation of leukocyte chemotaxis","3/17","53/9398",,,,0.000108918688250357,0.00430909560390474,0.0024148419697612,"IL23A/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0090715","immunological memory formation process","2/17","10/9398",,,,0.000137422478752636,0.00511696641473049,0.00286757742041103,"IL23A/TNFSF4",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0060326","cell chemotaxis","4/17","163/9398",,,,0.000174028001354995,0.00611998471431731,0.00342967464658674,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0072676","lymphocyte migration","3/17","65/9398",,,,0.000200380773537547,0.00631108017028346,0.00353676563962007,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0043922","negative regulation by host of viral transcription","2/17","12/9398",,,,0.000201124373861488,0.00631108017028346,0.00353676563962007,"CCL4/CCL3",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0070555","response to interleukin-1","3/17","67/9398",,,,0.000219271606561021,0.00631108017028346,0.00353676563962007,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0090713","immunological memory process","2/17","13/9398",,,,0.000237439605700138,0.00631108017028346,0.00353676563962007,"IL23A/TNFSF4",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0140131","positive regulation of lymphocyte chemotaxis","2/17","13/9398",,,,0.000237439605700138,0.00631108017028346,0.00353676563962007,"CCL4/CCL3",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0002688","regulation of leukocyte chemotaxis","3/17","69/9398",,,,0.000239282660484681,0.00631108017028346,0.00353676563962007,"IL23A/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0071346","cellular response to type II interferon","3/17","71/9398",,,,0.000260442589709367,0.00648750511204786,0.00363563519208469,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0002825","regulation of T-helper 1 type immune response","2/17","14/9398",,,,0.000276718227528108,0.00648750511204786,0.00363563519208469,"IL23A/TNFSF4",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0046641","positive regulation of alpha-beta T cell proliferation","2/17","14/9398",,,,0.000276718227528108,0.00648750511204786,0.00363563519208469,"IL23A/TNFSF4",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0050921","positive regulation of chemotaxis","3/17","76/9398",,,,0.000318554166446108,0.00696192317157222,0.0039015018023112,"IL23A/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0045624","positive regulation of T-helper cell differentiation","2/17","15/9398",,,,0.000318950666628111,0.00696192317157222,0.0039015018023112,"IL23A/TNFSF4",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:1901623","regulation of lymphocyte chemotaxis","2/17","17/9398",,,,0.000412238813227451,0.00843516916435696,0.00472711733331387,"CCL4/CCL3",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0050729","positive regulation of inflammatory response","3/17","83/9398",,,,0.000413096752124907,0.00843516916435696,0.00472711733331387,"IL23A/TNFSF4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0002687","positive regulation of leukocyte migration","3/17","85/9398",,,,0.000443076908044819,0.00876461508726158,0.00491174072404948,"IL23A/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0034341","response to type II interferon","3/17","87/9398",,,,0.000474424842872063,0.00901318472113849,0.00505104057707437,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0050900","leukocyte migration","4/17","213/9398",,,,0.000484120506348671,0.00901318472113849,0.00505104057707437,"CCL22/IL23A/CCL4/CCL3",4,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0019080","viral gene expression","3/17","90/9398",,,,0.00052406834083592,0.00921486832636492,0.00516406522987441,"CCL4/CCL3/MGAT4A",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","3/17","90/9398",,,,0.00052406834083592,0.00921486832636492,0.00516406522987441,"CCL22/CCL4/CCL3",3,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0032620","interleukin-17 production","2/17","20/9398",,,,0.000574086578767706,0.00931786677846047,0.00522178615505309,"IL23A/TNFSF4",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0032660","regulation of interleukin-17 production","2/17","20/9398",,,,0.000574086578767706,0.00931786677846047,0.00522178615505309,"IL23A/TNFSF4",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
"GO:0050850","positive regulation of calcium-mediated signaling","2/17","20/9398",,,,0.000574086578767706,0.00931786677846047,0.00522178615505309,"CCL4/CCL3",2,"GO:BP","UT_Shared_T_and_U_","Shared (T and U) (universe = genes tested in both UT arms)"
